City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
104,Buchanan,5.8808,-10.0467,77.04,88,100,10.18,LR,2022-06-15 18:44:25
105,Bilibino,68.0546,166.4372,47.75,45,8,4.41,RU,2022-06-15 18:44:25
106,Mandalgovi,45.7625,106.2708,67.19,58,100,1.81,MN,2022-06-15 18:44:26
107,Mineros,-17.1167,-63.2333,83.23,34,0,13.02,BO,2022-06-15 18:44:26
108,Kempten,47.7267,10.3139,78.17,83,19,2.62,DE,2022-06-15 18:44:26
109,San Juan,-31.5375,-68.5364,59.18,21,0,9.66,AR,2022-06-15 18:44:27
110,Hithadhoo,-0.6,73.0833,82.62,72,86,5.17,MV,2022-06-15 18:44:18
111,Weligama,5.9667,80.4167,78.57,86,100,13.24,LK,2022-06-15 18:44:27
112,Carupano,10.6678,-63.2585,83.14,72,54,9.33,VE,2022-06-15 18:44:27
113,Horsham,51.064,-0.3272,75.25,47,0,8.05,GB,2022-06-15 18:44:27
114,Altamont,42.2068,-121.7372,70.77,29,0,4.0,US,2022-06-15 18:44:28
115,Bethel,41.3712,-73.414,85.35,60,75,9.22,US,2022-06-15 18:43:33
116,Vao,-22.6667,167.4833,73.35,83,100,22.28,NC,2022-06-15 18:43:29
117,Hermanus,-34.4187,19.2345,53.47,65,5,5.28,ZA,2022-06-15 18:43:35
118,Talara,-4.5772,-81.2719,79.56,50,0,19.57,PE,2022-06-15 18:44:28
119,Viedma,-40.8135,-62.9967,55.44,58,66,7.61,AR,2022-06-15 18:44:28
120,Ancud,-41.8697,-73.8203,50.23,83,44,5.46,CL,2022-06-15 18:44:29
121,Cartagena,10.3997,-75.5144,83.82,74,75,6.91,CO,2022-06-15 18:44:29
122,Constitucion,-35.3333,-72.4167,55.72,77,23,8.72,CL,2022-06-15 18:43:26
123,Yellowknife,62.456,-114.3525,75.72,31,75,10.0,CA,2022-06-15 18:43:39
124,Bandarbeyla,9.4942,50.8122,78.75,78,100,30.89,SO,2022-06-15 18:43:51
125,Nikolskoye,59.7035,30.7861,58.87,94,100,11.41,RU,2022-06-15 18:43:42
126,Caravelas,-17.7125,-39.2481,71.87,74,97,6.58,BR,2022-06-15 18:44:30
127,Isangel,-19.55,169.2667,76.26,85,12,13.38,VU,2022-06-15 18:44:02
128,Bage,-31.3314,-54.1069,73.18,46,0,2.3,BR,2022-06-15 18:44:30
